Member;war_respect;war_attacks;member_id
Williams;334.46;35;140444
HeartsPrincess;505.47;51;1719132
ItBeLewis;166.9;21;1775453
AnthonyLoretto;437.05;63;1858055
Mahibuki;39.43;7;1923612
RipTheJacker;1901.2;185;1953965
DarthBelloq;671.18;74;2015888
hells_nells;659.32;52;2080360
Doofenshmirtz;11.4;3;2105039
daprinceomar;2280.95;150;2125322
bolthead0070;51.9;7;2161745
kirb;950.24;87;2176411
Monst3rous;2742.01;140;2189677
Saltheart;181.86;20;2196526
FuzzyRight1;1752.39;142;2228876
talies;284.4;24;2272830
JetBean;1449.79;95;2325363
DanniDraven;78.71;12;2326128
sinb;144.92;18;2338906
rocco_saint1;65.93;14;2369794
The-Silence;42.1;6;2407136
B3Dr1Ch;122.35;17;2418310
IOIIIIIOI;27.92;4;2522325
Southie;944.93;77;2599153
neonred;861.28;70;2608152
Cyb3rpunkx;758.87;86;2646329
-Poenie-;91.64;12;2660709
DocHammerMD;118.86;12;2671955
alirhl;16.74;2;2728756
CheJ;1212.44;103;2752336
RinnX;101.81;21;2752990
RabbitBrain;170.22;21;2765265
Chang_E;260.88;26;2790420
sogunubica;16.63;4;2799812
Manda;482.57;51;2806010
Ebenz33;6.23;1;2864324
BETA-;43.78;6;2866126
JudgeFudge;343.82;51;2880827
Ichaerus;410.97;53;2882495
aarontrepus;186.59;40;2899384
PurpleCatnip;214.4;25;2899757
SoulHunter8;512.83;50;2955185
Frank3nst3in;253.73;34;2973461
Bob937;81.85;14;3000530
KABOOSE96;98.96;19;3021017
Elswicka;624.22;59;3027058
Furnace_Funeral;167.51;24;3076983
slooj;984.72;93;3143592
Shindig7;1410.44;115;3155566
Hotspoon;466.79;59;3158789
Skunkymonkey69;114.72;20;3177305
Farmst;33.28;7;3182308
Jlamb;2367.69;195;3212903
TheCreature;259.41;19;3251071
ImSoFoolish;389.89;34;3251350
MorninGlory;232.64;23;3263240
Pokeballer;474.91;54;3269984
Teej136;55.26;6;3301709
JumanneStruggle;36.22;3;3316436
Xx_Eugene_xX;286.64;28;3317890
Renderhp;977.48;86;3399414
Dopplis;155.96;15;3517148
Caz27;1055.57;97;3521451
_Moridin_;498.69;44;3535815
Leadeatinmaniac;543.72;61;3537137
Qlas;6.3;1;3612329
Aktash;502.66;62;3637762
Lazy_seal;135.41;17;3650111
BeerBandit40;232.53;36;3654210
Blnko;494.76;65;3654507
Bloodrose3;90.81;10;3672395
Lykaios1;14.79;2;3675061
crazypilot;25.14;2;3694822
0Bane0;59.08;6;3700645
GrayFoxIRL;11.06;2;3705449
SlayersApex;741.27;82;3709844
GaloSengen;140.88;22;3715900
PacificDragon;41.22;5;3744400
Ehrzvv;327.71;36;3746198
Paddeyy;17.11;2;3751400
AfterEight;20.44;2;3776266
Maxey9320;9.64;1;3785490
Blckmonarch;86.54;10;3786193
JNIXIE;0.0;0;1995664
Sherezada;0.0;0;3002536
ColeX6;0.0;0;3689656
JarredGOONS;0.0;0;3710950
Arlechinul;0.0;0;3766372
21Bam;0.0;0;3781782
DaimiyoDeath;0.0;0;3786518
Areywings;0.0;0;3810545
Dummy999;0.0;0;3798738
BIsp;0.0;0;3811041
IjatSD1;0.0;0;3803354
JoePaletta;0.0;0;3803892
DeezPanda;0.0;0;3743832
AI-;0.0;0;3795407
BraydenOswell;0.0;0;3800713
